crm_cd	crm_cd_desc
921	HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
349	GRAND THEFT / AUTO REPAIR
950	"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
830	INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
451	PURSE SNATCHING - ATTEMPT
236	INTIMATE PARTNER - AGGRAVATED ASSAULT
910	KIDNAPPING
820	ORAL COPULATION
949	ILLEGAL DUMPING
880	DISRUPT SCHOOL
762	LEWD CONDUCT
956	"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
113	"MANSLAUGHTER, NEGLIGENT"
946	OTHER MISCELLANEOUS CRIME
810	"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
932	PEEPING TOM
352	PICKPOCKET
626	INTIMATE PARTNER - SIMPLE ASSAULT
625	OTHER ASSAULT
438	RECKLESS DRIVING
452	"PICKPOCKET, ATTEMPT"
845	SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
805	PIMPING
933	PROWLER
931	"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
760	LEWD/LASCIVIOUS ACTS WITH CHILD
436	LYNCHING - ATTEMPTED
806	PANDERING
446	PETTY THEFT - AUTO REPAIR
437	RESISTING ARREST
435	LYNCHING
421	THEFT FROM MOTOR VEHICLE - ATTEMPT
924	TELEPHONE PROPERTY - DAMAGE
450	THEFT FROM PERSON - ATTEMPT
354	THEFT OF IDENTITY
441	THEFT PLAIN - ATTEMPT
475	"THEFT, COIN MACHINE - ATTEMPT"
473	"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
341	"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
210	ROBBERY
815	SEXUAL PENETRATION W/FOREIGN OBJECT
821	SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
763	STALKING
420	THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
470	TILL TAP - GRAND THEFT ($950.01 & OVER)
440	THEFT PLAIN - PETTY ($950 & UNDER)
122	"RAPE, ATTEMPTED"
121	"RAPE, FORCIBLE"
442	SHOPLIFTING - PETTY THEFT ($950 & UNDER)
647	THROWING OBJECT AT MOVING VEHICLE
351	PURSE SNATCHING
928	THREATENING PHONE CALLS/LETTERS
250	"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
740	"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
443	SHOPLIFTING - ATTEMPT
520	VEHICLE - ATTEMPT STOLEN
350	"THEFT, PERSON"
522	"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
474	"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
901	VIOLATION OF RESTRAINING ORDER
471	TILL TAP - PETTY ($950 & UNDER)
902	VIOLATION OF TEMPORARY RESTRAINING ORDER
926	TRAIN WRECKING
888	TRESPASSING
900	VIOLATION OF COURT ORDER
745	VANDALISM - MISDEAMEANOR ($399 OR UNDER)
756	WEAPONS POSSESSION/BOMBING
510	VEHICLE - STOLEN
343	SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
661	UNAUTHORIZED COMPUTER ACCESS
251	SHOTS FIRED AT INHABITED DWELLING
331	THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
