GeographyKey;CustomerAlternateKey
216;AW00021125
196;AW00021126
209;AW00021127
117;AW00021128
149;AW00021129
241;AW00021130
132;AW00021131
198;AW00021132
218;AW00021133
255;AW00021134
235;AW00021135
270;AW00021136
270;AW00021137
51;AW00021138
542;AW00021139
301;AW00021140
612;AW00021141
545;AW00021142
542;AW00021143
635;AW00021144
302;AW00021145
641;AW00021146
623;AW00021147
54;AW00021148
539;AW00021149
638;AW00021150
298;AW00021151
325;AW00021152
358;AW00021153
339;AW00021154
336;AW00021155
539;AW00021156
301;AW00021157
634;AW00021158
539;AW00021159
307;AW00021160
633;AW00021161
334;AW00021162
298;AW00021163
307;AW00021164
6;AW00021165
38;AW00021166
13;AW00021167
4;AW00021168
20;AW00021169
23;AW00021170
26;AW00021171
21;AW00021172
19;AW00021173
26;AW00021174
11;AW00021175
9;AW00021176
21;AW00021177
23;AW00021178
20;AW00021179
39;AW00021180
3;AW00021181
29;AW00021182
20;AW00021183
29;AW00021184
16;AW00021185
20;AW00021186
16;AW00021187
32;AW00021188
21;AW00021189
22;AW00021190
14;AW00021191
11;AW00021192
11;AW00021193
17;AW00021194
37;AW00021195
18;AW00021196
24;AW00021197
33;AW00021198
7;AW00021199
23;AW00021200
4;AW00021201
34;AW00021202
23;AW00021203
36;AW00021204
15;AW00021205
30;AW00021206
25;AW00021207
39;AW00021208
23;AW00021209
15;AW00021210
4;AW00021211
25;AW00021212
25;AW00021213
8;AW00021214
19;AW00021215
32;AW00021216
28;AW00021217
21;AW00021218
34;AW00021219
17;AW00021220
3;AW00021221
22;AW00021222
14;AW00021223
27;AW00021224
10;AW00021225
11;AW00021226
21;AW00021227
32;AW00021228
21;AW00021229
21;AW00021230
24;AW00021231
8;AW00021232
358;AW00021233
312;AW00021234
298;AW00021235
632;AW00021236
345;AW00021237
49;AW00021238
30;AW00021239
374;AW00021240
553;AW00021241
358;AW00021242
374;AW00021243
325;AW00021244
338;AW00021245
301;AW00021246
638;AW00021247
23;AW00021248
526;AW00021249
543;AW00021250
49;AW00021251
53;AW00021252
616;AW00021253
34;AW00021254
32;AW00021255
6;AW00021256
26;AW00021257
8;AW00021258
19;AW00021259
632;AW00021260
368;AW00021261
372;AW00021262
49;AW00021263
634;AW00021264
302;AW00021265
54;AW00021266
632;AW00021267
302;AW00021268
299;AW00021269
637;AW00021270
348;AW00021271
60;AW00021272
631;AW00021273
347;AW00021274
347;AW00021275
53;AW00021276
64;AW00021277
536;AW00021278
37;AW00021279
612;AW00021280
307;AW00021281
322;AW00021282
27;AW00021283
65;AW00021284
539;AW00021285
300;AW00021286
307;AW00021287
352;AW00021288
612;AW00021289
542;AW00021290
626;AW00021291
552;AW00021292
311;AW00021293
355;AW00021294
54;AW00021295
607;AW00021296
542;AW00021297
543;AW00021298
627;AW00021299
322;AW00021300
539;AW00021301
545;AW00021302
374;AW00021303
618;AW00021304
65;AW00021305
51;AW00021306
316;AW00021307
66;AW00021308
361;AW00021309
338;AW00021310
62;AW00021311
543;AW00021312
307;AW00021313
638;AW00021314
301;AW00021315
358;AW00021316
359;AW00021317
51;AW00021318
609;AW00021319
609;AW00021320
612;AW00021321
543;AW00021322
632;AW00021323
300;AW00021324
316;AW00021325
355;AW00021326
374;AW00021327
348;AW00021328
355;AW00021329
355;AW00021330
54;AW00021331
51;AW00021332
553;AW00021333
338;AW00021334
612;AW00021335
51;AW00021336
609;AW00021337
299;AW00021338
70;AW00021339
641;AW00021340
311;AW00021341
300;AW00021342
301;AW00021343
335;AW00021344
49;AW00021345
368;AW00021346
49;AW00021347
52;AW00021348
54;AW00021349
307;AW00021350
334;AW00021351
68;AW00021352
610;AW00021353
52;AW00021354
627;AW00021355
335;AW00021356
616;AW00021357
348;AW00021358
12;AW00021359
6;AW00021360
37;AW00021361
39;AW00021362
29;AW00021363
54;AW00021364
7;AW00021365
36;AW00021366
13;AW00021367
314;AW00021368
359;AW00021369
36;AW00021370
9;AW00021371
26;AW00021372
37;AW00021373
18;AW00021374
18;AW00021375
39;AW00021376
4;AW00021377
31;AW00021378
4;AW00021379
4;AW00021380
15;AW00021381
25;AW00021382
32;AW00021383
12;AW00021384
312;AW00021385
322;AW00021386
26;AW00021387
546;AW00021388
40;AW00021389
7;AW00021390
21;AW00021391
26;AW00021392
33;AW00021393
40;AW00021394
609;AW00021395
612;AW00021396
631;AW00021397
372;AW00021398
385;AW00021399
50;AW00021400
543;AW00021401
19;AW00021402
26;AW00021403
25;AW00021404
23;AW00021405
33;AW00021406
33;AW00021407
32;AW00021408
36;AW00021409
614;AW00021410
335;AW00021411
62;AW00021412
618;AW00021413
543;AW00021414
634;AW00021415
300;AW00021416
301;AW00021417
20;AW00021418
312;AW00021419
338;AW00021420
638;AW00021421
348;AW00021422
71;AW00021423
316;AW00021424
343;AW00021425
310;AW00021426
632;AW00021427
612;AW00021428
547;AW00021429
301;AW00021430
49;AW00021431
616;AW00021432
311;AW00021433
361;AW00021434
369;AW00021435
611;AW00021436
307;AW00021437
368;AW00021438
634;AW00021439
336;AW00021440
60;AW00021441
331;AW00021442
631;AW00021443
352;AW00021444
609;AW00021445
68;AW00021446
60;AW00021447
311;AW00021448
311;AW00021449
68;AW00021450
311;AW00021451
539;AW00021452
49;AW00021453
311;AW00021454
609;AW00021455
543;AW00021456
300;AW00021457
335;AW00021458
374;AW00021459
372;AW00021460
60;AW00021461
345;AW00021462
372;AW00021463
51;AW00021464
360;AW00021465
542;AW00021466
632;AW00021467
336;AW00021468
316;AW00021469
307;AW00021470
51;AW00021471
325;AW00021472
612;AW00021473
623;AW00021474
314;AW00021475
315;AW00021476
339;AW00021477
343;AW00021478
359;AW00021479
49;AW00021480
614;AW00021481
542;AW00021482
637;AW00021483
638;AW00021484
641;AW00021485
301;AW00021486
347;AW00021487
359;AW00021488
49;AW00021489
50;AW00021490
623;AW00021491
314;AW00021492
359;AW00021493
54;AW00021494
631;AW00021495
300;AW00021496
307;AW00021497
312;AW00021498
358;AW00021499
642;AW00021500
59;AW00021501
326;AW00021502
626;AW00021503
611;AW00021504
192;AW00021505
173;AW00021506
231;AW00021507
229;AW00021508
247;AW00021509
155;AW00021510
265;AW00021511
231;AW00021512
197;AW00021513
134;AW00021514
233;AW00021515
246;AW00021516
257;AW00021517
197;AW00021518
162;AW00021519
238;AW00021520
187;AW00021521
196;AW00021522
175;AW00021523
265;AW00021524
241;AW00021525
172;AW00021526
211;AW00021527
151;AW00021528
183;AW00021529
182;AW00021530
223;AW00021531
175;AW00021532
259;AW00021533
250;AW00021534
206;AW00021535
128;AW00021536
147;AW00021537
220;AW00021538
209;AW00021539
255;AW00021540
265;AW00021541
220;AW00021542
211;AW00021543
240;AW00021544
277;AW00021545
155;AW00021546
238;AW00021547
254;AW00021548
126;AW00021549
163;AW00021550
39;AW00021551
20;AW00021552
27;AW00021553
4;AW00021554
35;AW00021555
15;AW00021556
6;AW00021557
4;AW00021558
26;AW00021559
35;AW00021560
8;AW00021561
3;AW00021562
24;AW00021563
27;AW00021564
21;AW00021565
22;AW00021566
18;AW00021567
23;AW00021568
5;AW00021569
11;AW00021570
8;AW00021571
7;AW00021572
14;AW00021573
638;AW00021574
322;AW00021575
546;AW00021576
49;AW00021577
642;AW00021578
553;AW00021579
52;AW00021580
71;AW00021581
49;AW00021582
653;AW00021583
616;AW00021584
543;AW00021585
552;AW00021586
298;AW00021587
301;AW00021588
60;AW00021589
609;AW00021590
310;AW00021591
623;AW00021592
301;AW00021593
322;AW00021594
54;AW00021595
553;AW00021596
312;AW00021597
648;AW00021598
548;AW00021599
368;AW00021600
360;AW00021601
612;AW00021602
609;AW00021603
315;AW00021604
612;AW00021605
614;AW00021606
614;AW00021607
634;AW00021608
307;AW00021609
322;AW00021610
385;AW00021611
548;AW00021612
57;AW00021613
49;AW00021614
311;AW00021615
612;AW00021616
539;AW00021617
54;AW00021618
385;AW00021619
50;AW00021620
54;AW00021621
59;AW00021622
632;AW00021623
642;AW00021624
553;AW00021625
648;AW00021626
302;AW00021627
612;AW00021628
52;AW00021629
627;AW00021630
49;AW00021631
312;AW00021632
633;AW00021633
614;AW00021634
352;AW00021635
385;AW00021636
359;AW00021637
539;AW00021638
612;AW00021639
314;AW00021640
314;AW00021641
59;AW00021642
311;AW00021643
383;AW00021644
644;AW00021645
335;AW00021646
611;AW00021647
301;AW00021648
311;AW00021649
312;AW00021650
633;AW00021651
68;AW00021652
361;AW00021653
329;AW00021654
56;AW00021655
69;AW00021656
609;AW00021657
68;AW00021658
50;AW00021659
339;AW00021660
163;AW00021661
206;AW00021662
177;AW00021663
189;AW00021664
180;AW00021665
153;AW00021666
159;AW00021667
234;AW00021668
236;AW00021669
187;AW00021670
189;AW00021671
166;AW00021672
196;AW00021673
155;AW00021674
202;AW00021675
219;AW00021676
220;AW00021677
260;AW00021678
230;AW00021679
135;AW00021680
157;AW00021681
234;AW00021682
279;AW00021683
189;AW00021684
632;AW00021685
302;AW00021686
316;AW00021687
361;AW00021688
609;AW00021689
49;AW00021690
59;AW00021691
648;AW00021692
299;AW00021693
299;AW00021694
299;AW00021695
614;AW00021696
385;AW00021697
311;AW00021698
339;AW00021699
352;AW00021700
542;AW00021701
64;AW00021702
69;AW00021703
637;AW00021704
307;AW00021705
612;AW00021706
618;AW00021707
616;AW00021708
546;AW00021709
62;AW00021710
383;AW00021711
316;AW00021712
315;AW00021713
612;AW00021714
644;AW00021715
612;AW00021716
374;AW00021717
336;AW00021718
543;AW00021719
301;AW00021720
635;AW00021721
372;AW00021722
302;AW00021723
311;AW00021724
69;AW00021725
63;AW00021726
64;AW00021727
612;AW00021728
641;AW00021729
301;AW00021730
331;AW00021731
57;AW00021732
627;AW00021733
337;AW00021734
314;AW00021735
301;AW00021736
223;AW00021737
265;AW00021738
273;AW00021739
273;AW00021740
54;AW00021741
51;AW00021742
307;AW00021743
310;AW00021744
52;AW00021745
334;AW00021746
302;AW00021747
325;AW00021748
310;AW00021749
312;AW00021750
335;AW00021751
41;AW00021752
536;AW00021753
548;AW00021754
312;AW00021755
369;AW00021756
623;AW00021757
612;AW00021758
71;AW00021759
311;AW00021760
374;AW00021761
616;AW00021762
634;AW00021763
58;AW00021764
546;AW00021765
298;AW00021766
298;AW00021767
53;AW00021768
311;AW00021769
635;AW00021770
307;AW00021771
547;AW00021772
536;AW00021773
374;AW00021774
345;AW00021775
623;AW00021776
66;AW00021777
612;AW00021778
311;AW00021779
311;AW00021780
626;AW00021781
536;AW00021782
612;AW00021783
614;AW00021784
307;AW00021785
316;AW00021786
326;AW00021787
331;AW00021788
343;AW00021789
358;AW00021790
361;AW00021791
69;AW00021792
546;AW00021793
315;AW00021794
361;AW00021795
66;AW00021796
609;AW00021797
543;AW00021798
543;AW00021799
311;AW00021800
352;AW00021801
372;AW00021802
49;AW00021803
632;AW00021804
635;AW00021805
301;AW00021806
310;AW00021807
315;AW00021808
334;AW00021809
372;AW00021810
310;AW00021811
637;AW00021812
64;AW00021813
552;AW00021814
63;AW00021815
175;AW00021816
273;AW00021817
225;AW00021818
224;AW00021819
190;AW00021820
142;AW00021821
278;AW00021822
123;AW00021823
255;AW00021824
140;AW00021825
121;AW00021826
171;AW00021827
160;AW00021828
270;AW00021829
272;AW00021830
189;AW00021831
188;AW00021832
130;AW00021833
120;AW00021834
175;AW00021835
162;AW00021836
131;AW00021837
173;AW00021838
241;AW00021839
258;AW00021840
278;AW00021841
147;AW00021842
158;AW00021843
120;AW00021844
184;AW00021845
121;AW00021846
249;AW00021847
248;AW00021848
210;AW00021849
197;AW00021850
131;AW00021851
133;AW00021852
175;AW00021853
247;AW00021854
276;AW00021855
242;AW00021856
253;AW00021857
257;AW00021858
215;AW00021859
211;AW00021860
199;AW00021861
206;AW00021862
134;AW00021863
231;AW00021864
251;AW00021865
226;AW00021866
223;AW00021867
153;AW00021868
154;AW00021869
267;AW00021870
33;AW00021871
15;AW00021872
5;AW00021873
13;AW00021874
15;AW00021875
10;AW00021876
2;AW00021877
10;AW00021878
33;AW00021879
33;AW00021880
21;AW00021881
23;AW00021882
39;AW00021883
18;AW00021884
13;AW00021885
10;AW00021886
31;AW00021887
23;AW00021888
4;AW00021889
3;AW00021890
5;AW00021891
16;AW00021892
7;AW00021893
31;AW00021894
23;AW00021895
34;AW00021896
17;AW00021897
33;AW00021898
6;AW00021899
536;AW00021900
542;AW00021901
325;AW00021902
368;AW00021903
52;AW00021904
609;AW00021905
609;AW00021906
616;AW00021907
546;AW00021908
352;AW00021909
154;AW00021910
223;AW00021911
186;AW00021912
212;AW00021913
120;AW00021914
360;AW00021915
68;AW00021916
355;AW00021917
311;AW00021918
611;AW00021919
335;AW00021920
59;AW00021921
374;AW00021922
637;AW00021923
648;AW00021924
49;AW00021925
553;AW00021926
310;AW00021927
310;AW00021928
312;AW00021929
325;AW00021930
360;AW00021931
310;AW00021932
358;AW00021933
325;AW00021934
644;AW00021935
301;AW00021936
359;AW00021937
545;AW00021938
51;AW00021939
312;AW00021940
369;AW00021941
626;AW00021942
19;AW00021943
8;AW00021944
37;AW00021945
13;AW00021946
37;AW00021947
29;AW00021948
28;AW00021949
4;AW00021950
23;AW00021951
34;AW00021952
36;AW00021953
31;AW00021954
7;AW00021955
10;AW00021956
12;AW00021957
16;AW00021958
18;AW00021959
33;AW00021960
24;AW00021961
36;AW00021962
9;AW00021963
21;AW00021964
37;AW00021965
38;AW00021966
19;AW00021967
29;AW00021968
7;AW00021969
40;AW00021970
23;AW00021971
2;AW00021972
28;AW00021973
36;AW00021974
30;AW00021975
18;AW00021976
17;AW00021977
15;AW00021978
31;AW00021979
22;AW00021980
20;AW00021981
32;AW00021982
28;AW00021983
5;AW00021984
14;AW00021985
29;AW00021986
22;AW00021987
13;AW00021988
14;AW00021989
26;AW00021990
37;AW00021991
40;AW00021992
32;AW00021993
37;AW00021994
13;AW00021995
22;AW00021996
40;AW00021997
22;AW00021998
34;AW00021999
25;AW00022000
31;AW00022001
7;AW00022002
38;AW00022003
2;AW00022004
35;AW00022005
38;AW00022006
618;AW00022007
49;AW00022008
312;AW00022009
302;AW00022010
634;AW00022011
310;AW00022012
545;AW00022013
50;AW00022014
64;AW00022015
612;AW00022016
8;AW00022017
40;AW00022018
65;AW00022019
34;AW00022020
635;AW00022021
355;AW00022022
300;AW00022023
310;AW00022024
312;AW00022025
49;AW00022026
49;AW00022027
31;AW00022028
15;AW00022029
37;AW00022030
19;AW00022031
35;AW00022032
16;AW00022033
326;AW00022034
355;AW00022035
315;AW00022036
637;AW00022037
326;AW00022038
335;AW00022039
385;AW00022040
50;AW00022041
300;AW00022042
331;AW00022043
358;AW00022044
612;AW00022045
644;AW00022046
300;AW00022047
360;AW00022048
299;AW00022049
43;AW00022050
609;AW00022051
298;AW00022052
299;AW00022053
299;AW00022054
300;AW00022055
631;AW00022056
648;AW00022057
49;AW00022058
52;AW00022059
542;AW00022060
306;AW00022061
315;AW00022062
7;AW00022063
39;AW00022064
20;AW00022065
299;AW00022066
609;AW00022067
300;AW00022068
300;AW00022069
310;AW00022070
312;AW00022071
385;AW00022072
609;AW00022073
552;AW00022074
298;AW00022075
310;AW00022076
311;AW00022077
325;AW00022078
54;AW00022079
66;AW00022080
552;AW00022081
299;AW00022082
299;AW00022083
307;AW00022084
310;AW00022085
311;AW00022086
312;AW00022087
325;AW00022088
347;AW00022089
383;AW00022090
626;AW00022091
642;AW00022092
547;AW00022093
644;AW00022094
69;AW00022095
609;AW00022096
69;AW00022097
552;AW00022098
310;AW00022099
60;AW00022100
616;AW00022101
548;AW00022102
302;AW00022103
314;AW00022104
335;AW00022105
352;AW00022106
59;AW00022107
347;AW00022108
68;AW00022109
536;AW00022110
311;AW00022111
60;AW00022112
552;AW00022113
49;AW00022114
634;AW00022115
326;AW00022116
68;AW00022117
68;AW00022118
302;AW00022119
69;AW00022120
50;AW00022121
634;AW00022122
300;AW00022123
432;AW00022124
343;AW00022125
302;AW00022126
310;AW00022127
51;AW00022128
300;AW00022129
359;AW00022130
326;AW00022131
310;AW00022132
631;AW00022133
301;AW00022134
635;AW00022135
316;AW00022136
345;AW00022137
307;AW00022138
311;AW00022139
635;AW00022140
66;AW00022141
302;AW00022142
49;AW00022143
50;AW00022144
299;AW00022145
374;AW00022146
21;AW00022147
33;AW00022148
31;AW00022149
27;AW00022150
28;AW00022151
337;AW00022152
361;AW00022153
77;AW00022154
39;AW00022155
20;AW00022156
536;AW00022157
536;AW00022158
631;AW00022159
547;AW00022160
299;AW00022161
301;AW00022162
334;AW00022163
372;AW00022164
325;AW00022165
648;AW00022166
5;AW00022167
19;AW00022168
35;AW00022169
40;AW00022170
33;AW00022171
14;AW00022172
14;AW00022173
30;AW00022174
40;AW00022175
19;AW00022176
13;AW00022177
13;AW00022178
16;AW00022179
11;AW00022180
11;AW00022181
66;AW00022182
611;AW00022183
334;AW00022184
352;AW00022185
358;AW00022186
539;AW00022187
609;AW00022188
612;AW00022189
335;AW00022190
637;AW00022191
627;AW00022192
37;AW00022193
6;AW00022194
20;AW00022195
27;AW00022196
28;AW00022197
2;AW00022198
34;AW00022199
8;AW00022200
27;AW00022201
17;AW00022202
37;AW00022203
31;AW00022204
2;AW00022205
21;AW00022206
5;AW00022207
14;AW00022208
13;AW00022209
12;AW00022210
631;AW00022211
3;AW00022212
30;AW00022213
34;AW00022214
336;AW00022215
372;AW00022216
59;AW00022217
611;AW00022218
53;AW00022219
543;AW00022220
310;AW00022221
374;AW00022222
339;AW00022223
307;AW00022224
618;AW00022225
326;AW00022226
301;AW00022227
616;AW00022228
301;AW00022229
54;AW00022230
325;AW00022231
50;AW00022232
50;AW00022233
63;AW00022234
312;AW00022235
345;AW00022236
325;AW00022237
543;AW00022238
360;AW00022239
627;AW00022240
634;AW00022241
648;AW00022242
627;AW00022243
614;AW00022244
542;AW00022245
326;AW00022246
62;AW00022247
300;AW00022248
335;AW00022249
368;AW00022250
41;AW00022251
59;AW00022252
611;AW00022253
627;AW00022254
637;AW00022255
307;AW00022256
311;AW00022257
325;AW00022258
543;AW00022259
548;AW00022260
299;AW00022261
339;AW00022262
623;AW00022263
49;AW00022264
63;AW00022265
345;AW00022266
55;AW00022267
57;AW00022268
311;AW00022269
325;AW00022270
336;AW00022271
352;AW00022272
307;AW00022273
642;AW00022274
336;AW00022275
361;AW00022276
632;AW00022277
54;AW00022278
302;AW00022279
314;AW00022280
385;AW00022281
542;AW00022282
546;AW00022283
300;AW00022284
49;AW00022285
361;AW00022286
336;AW00022287
536;AW00022288
298;AW00022289
637;AW00022290
299;AW00022291
301;AW00022292
322;AW00022293
325;AW00022294
329;AW00022295
335;AW00022296
355;AW00022297
372;AW00022298
59;AW00022299
634;AW00022300
334;AW00022301
243;AW00022302
213;AW00022303
256;AW00022304
248;AW00022305
196;AW00022306
120;AW00022307
237;AW00022308
246;AW00022309
171;AW00022310
277;AW00022311
183;AW00022312
271;AW00022313
225;AW00022314
278;AW00022315
202;AW00022316
161;AW00022317
143;AW00022318
199;AW00022319
230;AW00022320
276;AW00022321
220;AW00022322
211;AW00022323
217;AW00022324
243;AW00022325
635;AW00022326
612;AW00022327
612;AW00022328
542;AW00022329
311;AW00022330
307;AW00022331
62;AW00022332
546;AW00022333
612;AW00022334
623;AW00022335
302;AW00022336
310;AW00022337
314;AW00022338
634;AW00022339
368;AW00022340
542;AW00022341
612;AW00022342
641;AW00022343
307;AW00022344
368;AW00022345
300;AW00022346
383;AW00022347
347;AW00022348
62;AW00022349
637;AW00022350
612;AW00022351
334;AW00022352
55;AW00022353
71;AW00022354
311;AW00022355
325;AW00022356
316;AW00022357
316;AW00022358
68;AW00022359
612;AW00022360
343;AW00022361
312;AW00022362
50;AW00022363
360;AW00022364
361;AW00022365
66;AW00022366
352;AW00022367
633;AW00022368
302;AW00022369
334;AW00022370
55;AW00022371
361;AW00022372
60;AW00022373
618;AW00022374
335;AW00022375
542;AW00022376
183;AW00022377
219;AW00022378
224;AW00022379
126;AW00022380
120;AW00022381
250;AW00022382
261;AW00022383
121;AW00022384
230;AW00022385
174;AW00022386
173;AW00022387
241;AW00022388
121;AW00022389
176;AW00022390
175;AW00022391
220;AW00022392
150;AW00022393
222;AW00022394
196;AW00022395
274;AW00022396
215;AW00022397
132;AW00022398
9;AW00022399
38;AW00022400
26;AW00022401
26;AW00022402
5;AW00022403
31;AW00022404
28;AW00022405
7;AW00022406
6;AW00022407
38;AW00022408
25;AW00022409
25;AW00022410
19;AW00022411
35;AW00022412
204;AW00022413
132;AW00022414
161;AW00022415
247;AW00022416
202;AW00022417
234;AW00022418
208;AW00022419
184;AW00022420
230;AW00022421
267;AW00022422
196;AW00022423
206;AW00022424
213;AW00022425
218;AW00022426
258;AW00022427
279;AW00022428
261;AW00022429
188;AW00022430
200;AW00022431
131;AW00022432
273;AW00022433
247;AW00022434
187;AW00022435
154;AW00022436
275;AW00022437
215;AW00022438
267;AW00022439
213;AW00022440
120;AW00022441
240;AW00022442
184;AW00022443
118;AW00022444
180;AW00022445
239;AW00022446
168;AW00022447
212;AW00022448
206;AW00022449
178;AW00022450
236;AW00022451
240;AW00022452
127;AW00022453
258;AW00022454
132;AW00022455
272;AW00022456
234;AW00022457
213;AW00022458
154;AW00022459
245;AW00022460
273;AW00022461
130;AW00022462
221;AW00022463
211;AW00022464
219;AW00022465
202;AW00022466
258;AW00022467
245;AW00022468
117;AW00022469
240;AW00022470
205;AW00022471
212;AW00022472
141;AW00022473
166;AW00022474
229;AW00022475
175;AW00022476
133;AW00022477
135;AW00022478
157;AW00022479
225;AW00022480
176;AW00022481
131;AW00022482
200;AW00022483
193;AW00022484
223;AW00022485
154;AW00022486
224;AW00022487
115;AW00022488
213;AW00022489
217;AW00022490
171;AW00022491
161;AW00022492
170;AW00022493
127;AW00022494
216;AW00022495
236;AW00022496
128;AW00022497
220;AW00022498
218;AW00022499
198;AW00022500
204;AW00022501
236;AW00022502
261;AW00022503
267;AW00022504
270;AW00022505
117;AW00022506
117;AW00022507
159;AW00022508
160;AW00022509
267;AW00022510
186;AW00022511
223;AW00022512
215;AW00022513
160;AW00022514
207;AW00022515
157;AW00022516
120;AW00022517
266;AW00022518
175;AW00022519
251;AW00022520
131;AW00022521
171;AW00022522
131;AW00022523
189;AW00022524
178;AW00022525
263;AW00022526
186;AW00022527
233;AW00022528
205;AW00022529
264;AW00022530
193;AW00022531
269;AW00022532
147;AW00022533
202;AW00022534
237;AW00022535
262;AW00022536
160;AW00022537
224;AW00022538
276;AW00022539
231;AW00022540
151;AW00022541
201;AW00022542
547;AW00022543
62;AW00022544
51;AW00022545
543;AW00022546
343;AW00022547
358;AW00022548
631;AW00022549
278;AW00022550
159;AW00022551
222;AW00022552
262;AW00022553
277;AW00022554
223;AW00022555
224;AW00022556
243;AW00022557
272;AW00022558
279;AW00022559
231;AW00022560
185;AW00022561
221;AW00022562
174;AW00022563
264;AW00022564
166;AW00022565
233;AW00022566
201;AW00022567
165;AW00022568
258;AW00022569
273;AW00022570
9;AW00022571
19;AW00022572
4;AW00022573
13;AW00022574
35;AW00022575
11;AW00022576
13;AW00022577
37;AW00022578
13;AW00022579
23;AW00022580
19;AW00022581
27;AW00022582
25;AW00022583
211;AW00022584
144;AW00022585
279;AW00022586
150;AW00022587
239;AW00022588
262;AW00022589
171;AW00022590
147;AW00022591
269;AW00022592
190;AW00022593
231;AW00022594
180;AW00022595
248;AW00022596
140;AW00022597
163;AW00022598
244;AW00022599
241;AW00022600
183;AW00022601
275;AW00022602
189;AW00022603
243;AW00022604
273;AW00022605
149;AW00022606
171;AW00022607
233;AW00022608
141;AW00022609
163;AW00022610
267;AW00022611
191;AW00022612
264;AW00022613
255;AW00022614
157;AW00022615
258;AW00022616
117;AW00022617
244;AW00022618
147;AW00022619
157;AW00022620
162;AW00022621
257;AW00022622
176;AW00022623
189;AW00022624
221;AW00022625
208;AW00022626
144;AW00022627
130;AW00022628
241;AW00022629
237;AW00022630
237;AW00022631
199;AW00022632
120;AW00022633
241;AW00022634
244;AW00022635
265;AW00022636
267;AW00022637
161;AW00022638
239;AW00022639
261;AW00022640
223;AW00022641
269;AW00022642
230;AW00022643
147;AW00022644
184;AW00022645
247;AW00022646
207;AW00022647
222;AW00022648
184;AW00022649
115;AW00022650
211;AW00022651
168;AW00022652
256;AW00022653
215;AW00022654
120;AW00022655
243;AW00022656
273;AW00022657
220;AW00022658
120;AW00022659
155;AW00022660
215;AW00022661
241;AW00022662
191;AW00022663
187;AW00022664
120;AW00022665
159;AW00022666
239;AW00022667
245;AW00022668
250;AW00022669
278;AW00022670
243;AW00022671
241;AW00022672
222;AW00022673
120;AW00022674
196;AW00022675
193;AW00022676
132;AW00022677
120;AW00022678
159;AW00022679
151;AW00022680
220;AW00022681
226;AW00022682
190;AW00022683
147;AW00022684
132;AW00022685
251;AW00022686
246;AW00022687
121;AW00022688
211;AW00022689
211;AW00022690
219;AW00022691
185;AW00022692
226;AW00022693
129;AW00022694
256;AW00022695
191;AW00022696
221;AW00022697
211;AW00022698
160;AW00022699
123;AW00022700
168;AW00022701
215;AW00022702
211;AW00022703
197;AW00022704
125;AW00022705
132;AW00022706
171;AW00022707
219;AW00022708
186;AW00022709
145;AW00022710
131;AW00022711
184;AW00022712
49;AW00022713
64;AW00022714
66;AW00022715
614;AW00022716
644;AW00022717
299;AW00022718
311;AW00022719
337;AW00022720
607;AW00022721
302;AW00022722
383;AW00022723
315;AW00022724
633;AW00022725
623;AW00022726
611;AW00022727
49;AW00022728
326;AW00022729
62;AW00022730
331;AW00022731
66;AW00022732
611;AW00022733
360;AW00022734
539;AW00022735
642;AW00022736
299;AW00022737
347;AW00022738
52;AW00022739
299;AW00022740
607;AW00022741
536;AW00022742
623;AW00022743
311;AW00022744
